Sex,Age,2008Q3,2009Q3,2010Q3,2011Q3,2012Q3,2013Q3,2014Q3,2015Q3,2016Q3,2017Q3,2018Q3,2019Q3
Women,22 years,30403,31275,31988,33483,34812,35711,36291,37373,37801,39046,37632,37942
Women,23 years,29780,31099,31845,32438,34136,35479,36417,36974,38240,38559,39700,38467
Women,24 years,29768,30402,31627,32350,32991,34736,36099,37210,37840,39020,39302,40324
Women,25 years,29355,30321,30738,32036,32641,33467,35246,36695,38051,38508,39559,39724
Women,26 years,30711,29780,30596,31036,32340,33116,33916,35697,37281,38395,38840,39731
Women,27 years,30857,31072,30047,30875,31250,32543,33421,34299,36233,37610,38671,38942
Women,28 years,32846,31193,31311,30257,30940,31493,32736,33647,34739,36559,37900,38841
Women,29 years,33636,33187,31434,31482,30334,31046,31678,32967,34018,35039,36711,38003
Women,30 years,34096,33850,33295,31525,31434,30416,31157,31922,33371,34182,35152,36737
Women,31 years,34157,34259,33945,33388,31469,31467,30583,31431,32278,33555,34313,35235
Women,32 years,37243,34322,34357,34025,33435,31587,31677,30808,31715,32489,33691,34452
Women,33 years,38442,37445,34432,34479,34078,33528,31776,31926,31068,31910,32621,33800
Women,34 years,37649,38623,37567,34536,34583,34156,33676,32008,32229,31288,32022,32734
Women,35 years,38620,37771,38731,37673,34585,34696,34345,33906,32350,32493,31412,32102
Women,36 years,39918,38717,37887,38824,37736,34699,34833,34550,34163,32488,32618,31504
Women,37 years,37804,40081,38843,37963,38834,37851,34854,35024,34754,34288,32561,32720
Women,38 years,37146,37930,40128,38872,37994,38928,37968,35021,35181,34847,34377,32679
Women,39 years,37367,37266,38014,40193,38901,38049,39064,38099,35155,35327,34958,34451
Women,40 years,39876,37432,37321,38056,40237,38940,38107,39165,38303,35302,35418,35063
Women,41 years,43217,39958,37476,37383,38062,40293,39040,38235,39328,38358,35352,35477
Women,42 years,43608,43233,39990,37523,37445,38139,40374,39143,38348,39436,38447,35443
Women,43 years,42283,43658,43278,39998,37536,37434,38206,40437,39248,38464,39497,38533
Women,44 years,41347,42349,43718,43251,40010,37588,37493,38298,40520,39340,38536,39532
Women,45 years,39653,41359,42362,43708,43221,40022,37676,37548,38412,40582,39412,38571
Women,46 years,38848,39712,41373,42326,43679,43249,40080,37723,37614,38470,40649,39425
Women,47 years,37653,38855,39712,41358,42310,43682,43280,40144,37757,37665,38502,40659
Women,48 years,36992,37611,38819,39693,41285,42258,43664,43317,40181,37764,37680,38512
Women,49 years,36192,36975,37544,38781,39613,41231,42246,43631,43332,40194,37788,37699
Women,50 years,36553,36152,36941,37468,38696,39597,41229,42226,43614,43308,40200,37797
Women,51 years,36449,36499,36081,36876,37392,38616,39529,41180,42224,43595,43266,40175
Women,52 years,36036,36363,36412,35997,36762,37353,38566,39470,41133,42182,43519,43235
Women,53 years,35662,35925,36244,36322,35906,36646,37288,38511,39426,41077,42111,43425
Women,54 years,35464,35569,35825,36108,36215,35817,36537,37216,38444,39333,41023,42031
Women,55 years,35965,35351,35439,35705,35960,36098,35745,36411,37128,38343,39259,40936
Women,56 years,34354,35808,35185,35245,35550,35799,36000,35653,36298,37020,38234,39139
Women,57 years,35018,34178,35658,35011,35073,35411,35675,35886,35521,36221,36896,38127
Women,58 years,35478,34853,33986,35462,34833,34908,35303,35565,35756,35385,36094,36789
Women,59 years,36109,35286,34680,33778,35270,34642,34759,35151,35398,35577,35261,35940
Women,60 years,37300,35859,35090,34453,33595,35073,34468,34596,34955,35251,35397,35104
Women,61 years,39860,37036,35650,34847,34214,33367,34897,34261,34429,34755,35086,35193
Women,62 years,39557,39596,36768,35393,34625,34001,33123,34652,34066,34195,34562,34884
Women,63 years,37507,39207,39255,36518,35132,34382,33787,32907,34397,33852,33971,34330
Women,64 years,35116,37193,38834,38925,36252,34862,34082,33535,32649,34107,33620,33737
Women,65 years,32405,34798,36788,38461,38597,35962,34604,33785,33290,32403,33834,33351
Women,66 years,29350,32030,34410,36397,38059,38231,35658,34301,33509,32969,32129,33528
Women,67 years,26998,28976,31659,34055,36024,37669,37864,35324,33988,33216,32646,31783
Women,68 years,25996,26664,28631,31302,33646,35618,37275,37477,34944,33613,32886,32311
Women,69 year,25050,25607,26282,28264,30884,33259,35205,36816,37040,34581,33253,32526
Women,70 years,24502,24628,25215,25910,27848,30461,32807,34755,36387,36583,34141,32879
Women,71 years,23277,24099,24252,24812,25518,27422,30017,32364,34272,35851,36088,33711
Women,72 years,21916,22821,23629,23839,24349,25045,27017,29531,31864,33791,35296,35568
Women,73 years,21040,21426,22307,23132,23324,23925,24633,26539,29057,31310,33228,34711
Women,74 years,19893,20570,20889,21767,22628,22801,23467,24146,26011,28547,30688,32597
Women,75 years,18842,19359,20018,20354,21234,22083,22317,22980,23671,25479,27957,30076
Women,76 years,18392,18224,18763,19424,19776,20646,21526,21752,22450,23118,24852,27307
Women,77 years,17691,17733,17608,18122,18791,19130,20038,20946,21194,21905,22494,24231
Women,78 years,16860,16984,17029,16962,17480,18096,18587,19400,20306,20567,21244,21822
Women,79 years,16355,16107,16222,16305,16293,16799,17464,17900,18753,19600,19908,20572
Women,80 years,15680,15535,15308,15449,15579,15532,16140,16737,17203,18053,18867,19214
Women,81 years,15114,14863,14758,14524,14696,14774,14846,15384,16001,16440,17282,18135
